description,produit,prodfourn,unite,compte,ana1,project,resno,ana4,ana5,dep,interco,ct,st,t,active
BB-78-JG,CARB_ELEC_PERS,AN951,US,62410001,9,DO5000-4000,8642,620616,BB-78-JG,5011,9,BG,,D,1
BD-61-ZH,CARB_ELEC_PERS,AN951,US,62410001,9,DO5010,1642,620616,BD-61-ZH,5011,9,BG,,D,1
BT-42-CJ,CARB_ELEC_PERS,AN951,US,62410001,9,DO5000-4000,9214,620616,BT-42-CJ,5011,9,BG,,D,1
